Symbol	Description
HELX	Helix Applications Inc
HEM	Hemostemix Inc
HEO	H2O Innovation Inc
HEO.WT	H20 Innovation Inc Wts
HFC	Hampton Financial Corp
HFC.PR.A	Hampton Financial Corporation Pref A
HI	Highland Copper Company Inc
HIGH	Highgold Mining Inc
HIP.WT.A	Newstrike Resources Ltd WT A
HIRE	Bay Talent Group Inc
HIT	Hit Technologies Inc
HIVE	Hive Blockchain Technologies Inc
HME	Hemisphere Energy Corp
HMT	Halmont Properties Corp
HOC	Hunter Oil Corp
HOCL	Highwood Oil Company Ltd.
HPI	Highbury Projects Inc
HPQ	Hpq Silicon Resources Inc
HPY	Happy Creek Minerals Ltd
HRE	Stans Energy Corp
HRH	Hillcrest Petroleum Ltd
HRL	Hansa Resources Limited
HSI	H Source Holdings Ltd
HTC	Htc Purenergy Inc
HTE.P	Hoist Capital Corp
HTL	Hamilton Thorne Ltd
HTR	Heatherdale Resources Ltd
HUD	Hudson Resources Inc
HVG	Harvest Gold Corp
HVT	Harvest One Cannabis Inc
HVT.WT	Harvest One Cannabis Inc WT
HWY	Highway 50 Gold Corp
HYD	Hyduke Energy Services Inc
HZ	Hybrid Minerals Inc
IB	Ibc Advanced Alloys Corp
IBC.H	International Bethlehem Mining Corp
IBIT	Interbit Ltd.
IBT	Ibex Technologies Inc
ICAU	Intercontinental Gold and Metals Ltd
ICL	Itasca Capital Ltd
ICM	Iconic Minerals Ltd
ICO	Ico Therapeutics Inc
ID	Identillect Technologies Corp
IDH.H	Idg Holdings Inc
IDL	Imaging Dynamics Company Ltd
IEI	Imperial Equities Inc
IFOS	Itafos
IFR	International Frontier Resources Corpora
IFX	Imaflex Inc
IGO	Independence Gold Corp
IGP	Imperial Ginseng Products Ltd
IGX	Intelgenx Technologies Corp
IGX.DB	Intelgenx Technologies Corp 8.0 Pct Debs
IGX.WT	Intelgenx Technologies Corp Wts
ILA	Ilookabout Corp
ILC	International Lithium Corp
ILI	Infinite Ore Corp.
IMA	I-Minerals Inc
IMI	International Millennium Mining Corp
IMIN	Imining Blockchain & Cryptocurrency Inc
IMR	Imetal Resources Inc
IMT	International Montoro Res. Inc
INEO	Ineo Tech Corp
INLA	Interlapse Technologies Corp
INP	Input Capital Corp
INX	Intouch Insight Ltd
IO	Inca One Gold Corp
IOM	Assure Holdings Corp
IOT	Innovotech Inc
IOU	Iou Financial Inc
IPA	Immunoprecise Antibodies Ltd
IPD	International Parkside Products Inc
IPG	Imperial Mining Group Ltd
IPT	Impact Silver Corp
IQ	Airiq Inc
IRI	Iemr Resources Inc
IRO	Inter-Rock Minerals Inc
IRR	Inform Resources Corp
ISD	Isign Media Solutions Inc
ISGI	Insuraguest Technologies Inc
ISO	Isoenergy Ltd
ISS	International Samuel Exploration Corp
ITG	Intact Gold Corporation
ITM	Intema Solutions Inc
ITR	Integra Resources Corp
ITT	Internet of Things Inc
IVF.H	Invictus Financial Inc
IVI	Ivrnet Inc
IVS	Inventus Mining Corp
IVX	Inventronics Limited
IXI	Indigo Exploration Inc
IZ	International Zeolite Corp
IZN	Inzinc Mining Ltd
IZZ	International Prospect Ventures Ltd
JADE	Jade Leader Corp
JAEG	Jaeger Resources Corp
JAX	Jaxon Mining Inc
JCO	Jericho Oil Corp
JDN	Jayden Resources Inc
JEC	Jura Energy Corp
JFC.H	Jaguar Financial Corporation
JG	Japan Gold Corp
JLR	Jiulian Resources Inc
JOR	Jourdan Resources Inc
JP	Jackpot Digital Inc
JP.WT	Jackpot Digital Inc WT
JP.WT.J	Jackpot Digital Inc
JPWR.UN	Jade Power Trust
JRV	Jervois Mining Ltd
JSE	Jadestone Energy Inc
JSP.H	Jasper Mining Corporation
JTC	Jemtec Inc
JTR	Greenspace Brands Inc
JUB	Jubilee Gold Exploration Ltd
JUGR	Juggernaut Exploration Ltd
JWCA	James E. Wagner Cultivation Corp
JZR	Jazz Resources Inc
KANA	Kanadario Gold Inc
KAPA.P	Kapa Capital Inc
KAY.H	Karsten Energy Corp
KC	Kutcho Copper Corp
KCC	Kincora Copper Limited
KDA	Kda Group Inc
KEN	Kenadyr Mining Holdings Corp
KES	Kesselrun Resources Ltd
KFG	Kfg Resources Ltd
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGL	Kilo Goldmines Ltd
KHA.H	Knighthawk Inc
KHRN	Khiron Life Sciences Corp
KHV.P	Klinik Health Ventures Corp
KIDZ	Kidoz Inc
KING	King Global Ventures Inc
KIP	Kiplin Metals Inc.
KLE.H	Kingsland Energy Corp
KLM	Kermode Resources Ltd
KLY	Kalytera Therapeutics Inc
KLY.WT.A	Kalytera Therapeutics Inc WT
KLY.WT.B	Kalytera Therapeutics Inc WT B
KMAX	Organimax Nutrient Corp
KMT	Komet Resources Inc
KNE	Kane Biotech Inc
KNG	Kingsmen Resources Ltd
KNT	K92 Mining Inc
KORE	Kore Mining Ltd
KS	Klondike Silver Corp
KSI	Kneat.com Inc
KSMT.P	Kismet Resources Corp
KTN	Kootenay Silver Inc
KTN.WT	Kootenay Silver Inc WT
KTO	K2 Gold Corp
KTR	Kintavar Exploration Inc
KUB	Cub Energy Inc
KUR.H	Kure Technologies Inc
KUT	Redishred Capital Corp
KUU	Kuuhubb Inc
KYS.H	Kaymus Resources Inc
KZD	Kaizen Discovery Inc
LA	Los Andes Copper Limited
LAB	Labrador Gold Corp
LAD	New Carolin Gold Corp
LAT	Latin American Minerals Inc
LBC	Libero Copper & Gold Corp
LBI	Lions Bay Capital Inc
LBL	Lattice Biologics Ltd
LBY	Liberty One Lithium Corp
LDI	Lithoquest Diamonds Inc
LEM	Leading Edge Materials Corp
LEXI	Lithium Energi Exploration Inc
LHR	Lakeview Hotel Invest Corp
LHR.DB.C	Lakeview Hotel Invest Corp Ser C Debs
LHR.DB.D	Lakeview Hotel Invest Corp Ser D Debs
LI	American Lithium Corp
LIC	Lico Energy Metals Inc
LIFT	Lift & Co. Corp
LIO	Lion One Metals Limited
LIT	Argentina Lithium and Energy Corp
LITH	Lithium Chile Inc
